unknown_token,frequency,suggested_category
code,11,otp_failure
setting,7,navigation_confusion
bahut,7,navigation_confusion
hidden,7,navigation_confusion
fix,7,otp_failure
verification,7,otp_failure
pareshan,5,navigation_confusion
gayab,5,navigation_confusion
invalid,5,otp_failure
bata,5,otp_failure
menu,4,navigation_confusion
log,3,navigation_confusion
out,3,navigation_confusion
button,3,navigation_confusion
very,3,navigation_confusion
confusing,3,navigation_confusion
anyone,3,navigation_confusion
else,3,navigation_confusion
facing,3,navigation_confusion
karo,3,otp_failure
isko,3,otp_failure
500,3,payment_anxiety
rupees,3,payment_anxiety
star,3,payment_anxiety
open,3,performance_frustration
kidhar,2,navigation_confusion
frustrating,2,otp_failure
wallet,2,payment_anxiety
pending,2,payment_anxiety
page,2,performance_frustration
ghanta,1,otp_failure
deduct,1,payment_anxiety
help,1,payment_anxiety
wtf,1,payment_anxiety
screen,1,performance_frustration
delete,1,performance_frustration
